​ Wed Jan 20 2021 14:32:39 GMT-0800 (Pacific Standard Time)
​ CovidSIMVL Mode1 and Mod2 Hybrid 35d
​ Mode 1 >13 and <36 is 75%
​ Mode 2 >28 is 95%; >13 and <29 is 75%
​ exit covidSim
​ getAsText File {name: "Popn1000.csv", lastModified: 1611021598000, lastModifiedDate: Mon Jan 18 2021 17:59:58 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 23944, …}
​ File {name: "Popn1000.csv", lastModified: 1611021598000, lastModifiedDate: Mon Jan 18 2021 17:59:58 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 23944, …}
​ getAsText File {name: "VL1ageGp2.csv", lastModified: 1611004274000, lastModifiedDate: Mon Jan 18 2021 13:11:14 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 65, …}
​ File {name: "VL1ageGp2.csv", lastModified: 1611004274000, lastModifiedDate: Mon Jan 18 2021 13:11:14 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 65, …}
​ Red Days changed to 10
​ New Hazard Radius = 1.7
​ new Mingle Factor = 7
​ 134I i:ageGp:fam 743:5:-1 by blue 795:5:-1 at gen202 Univ0 prob=0.712
​ 134I i:ageGp:fam 757:5:-1 by red 812:5:-1 at gen202 Univ0 prob=0.377
​ 141I j:ageGp:fam 685:4:-1 by red 326:2:-1 at gen203 Univ0 prob=0.201
​ 141I i:ageGp:fam 393:3:-1 by blue 815:5:-1 at gen203 Univ0 prob=0.864
​ 141I j:ageGp:fam 734:5:-1 by yellow 618:4:-1 at gen203 Univ0 prob=0.149
​ 141I j:ageGp:fam 767:5:-1 by blue 738:5:-1 at gen203 Univ0 prob=0.451
​ 145I i:ageGp:fam 162:2:-1 by blue 405:3:-1 at gen204 Univ0 prob=0.408
​ 145I j:ageGp:fam 994:9:-1 by blue 168:2:-1 at gen204 Univ0 prob=0.072
​ 145I i:ageGp:fam 192:2:-1 by yellow 512:3:-1 at gen204 Univ0 prob=0.636
​ 145I j:ageGp:fam 961:8:-1 by yellow 418:3:-1 at gen204 Univ0 prob=0.513
​ 145I i:ageGp:fam 432:3:-1 by green 994:9:-1 at gen204 Univ0 prob=0.059
​ 145I i:ageGp:fam 865:6:-1 by blue 914:7:-1 at gen204 Univ0 prob=0.112
​ 149I i:ageGp:fam 160:2:-1 by red 200:2:-1 at gen205 Univ0 prob=0.960
​ 149I j:ageGp:fam 885:6:-1 by red 403:3:-1 at gen205 Univ0 prob=0.574
​ 149I j:ageGp:fam 463:3:-1 by yellow 418:3:-1 at gen205 Univ0 prob=0.606
​ 149I j:ageGp:fam 899:6:-1 by blue 738:5:-1 at gen205 Univ0 prob=0.761
​ 155I i:ageGp:fam 381:3:-1 by blue 795:5:-1 at gen206 Univ0 prob=0.549
​ 155I i:ageGp:fam 422:3:-1 by blue 802:5:-1 at gen206 Univ0 prob=0.915
​ 159I i:ageGp:fam 94:1:-1 by red 832:6:-1 at gen207 Univ0 prob=0.234
​ 159I i:ageGp:fam 369:3:-1 by yellow 510:3:-1 at gen207 Univ0 prob=0.104
​ 159I i:ageGp:fam 681:4:-1 by red 739:5:-1 at gen207 Univ0 prob=0.157
​ 159I i:ageGp:fam 715:5:-1 by red 739:5:-1 at gen207 Univ0 prob=0.729
​ 161I j:ageGp:fam 564:4:-1 by red 200:2:-1 at gen208 Univ0 prob=0.716
​ 161I j:ageGp:fam 577:4:-1 by red 326:2:-1 at gen208 Univ0 prob=0.346
​ 161I j:ageGp:fam 811:5:-1 by blue 497:3:-1 at gen208 Univ0 prob=0.580
​ 161I i:ageGp:fam 763:5:-1 by blue 795:5:-1 at gen208 Univ0 prob=0.511
​ 165I i:ageGp:fam 13:0:-1 by blue 340:2:-1 at gen209 Univ0 prob=0.802
​ 165I j:ageGp:fam 468:3:-1 by yellow 160:2:-1 at gen209 Univ0 prob=0.641
​ 165I j:ageGp:fam 932:7:-1 by red 184:2:-1 at gen209 Univ0 prob=0.265
​ 165I i:ageGp:fam 303:2:-1 by blue 893:6:-1 at gen209 Univ0 prob=0.820
​ 165I j:ageGp:fam 898:6:-1 by yellow 564:4:-1 at gen209 Univ0 prob=0.860
​ 165I j:ageGp:fam 875:6:-1 by red 739:5:-1 at gen209 Univ0 prob=0.386
​ 169I j:ageGp:fam 910:7:-1 by blue 158:2:-1 at gen210 Univ0 prob=0.644
​ 169I i:ageGp:fam 227:2:-1 by blue 802:5:-1 at gen210 Univ0 prob=0.525
​ 175I i:ageGp:fam 15:0:-1 by blue 340:2:-1 at gen211 Univ0 prob=0.385
​ 175I i:ageGp:fam 654:4:-1 by blue 750:5:-1 at gen211 Univ0 prob=0.922
​ 177I j:ageGp:fam 504:3:-1 by red 496:3:-1 at gen212 Univ0 prob=0.062
​ 177I i:ageGp:fam 587:4:-1 by blue 968:8:-1 at gen212 Univ0 prob=0.979
​ 179I j:ageGp:fam 688:4:-1 by yellow 381:3:-1 at gen213 Univ0 prob=0.877
​ 179I j:ageGp:fam 920:7:-1 by blue 815:5:-1 at gen213 Univ0 prob=0.100
​ 181I i:ageGp:fam 171:2:-1 by red 712:5:-1 at gen214 Univ0 prob=0.120
​ 181I i:ageGp:fam 178:2:-1 by red 403:3:-1 at gen214 Univ0 prob=0.319
​ 183I i:ageGp:fam 14:0:-1 by blue 965:8:-1 at gen215 Univ0 prob=0.879
​ 183I j:ageGp:fam 751:5:-1 by blue 601:4:-1 at gen215 Univ0 prob=0.784
​ 183I i:ageGp:fam 764:5:-1 by blue 968:8:-1 at gen215 Univ0 prob=0.451
​ 185I i:ageGp:fam 77:1:-1 by blue 914:7:-1 at gen216 Univ0 prob=0.868
​ 185I i:ageGp:fam 98:1:-1 by yellow 751:5:-1 at gen216 Univ0 prob=0.124
​ 185I j:ageGp:fam 170:2:-1 by blue 168:2:-1 at gen216 Univ0 prob=0.411
​ 185I j:ageGp:fam 748:5:-1 by blue 497:3:-1 at gen216 Univ0 prob=0.335
​ 185I i:ageGp:fam 561:4:-1 by red 738:5:-1 at gen216 Univ0 prob=0.772
​ 188I i:ageGp:fam 40:1:-1 by blue 497:3:-1 at gen217 Univ0 prob=0.539
​ 188I i:ageGp:fam 155:2:-1 by blue 158:2:-1 at gen217 Univ0 prob=0.382
​ 188I i:ageGp:fam 364:3:-1 by blue 795:5:-1 at gen217 Univ0 prob=0.570
​ 188I j:ageGp:fam 718:5:-1 by blue 411:3:-1 at gen217 Univ0 prob=0.345
​ 188I j:ageGp:fam 672:4:-1 by blue 586:4:-1 at gen217 Univ0 prob=0.846
​ 188I i:ageGp:fam 827:6:-1 by blue 965:8:-1 at gen217 Univ0 prob=0.500
​ 193I j:ageGp:fam 299:2:-1 by blue 249:2:-1 at gen218 Univ0 prob=0.690
​ 193I j:ageGp:fam 998:9:-1 by blue 279:2:-1 at gen218 Univ0 prob=0.082
​ 193I j:ageGp:fam 652:4:-1 by blue 628:4:-1 at gen218 Univ0 prob=0.103
​ 193I j:ageGp:fam 765:5:-1 by blue 755:5:-1 at gen218 Univ0 prob=0.426
​ 193I j:ageGp:fam 977:8:-1 by blue 965:8:-1 at gen218 Univ0 prob=0.284
​ 199I j:ageGp:fam 511:3:-1 by yellow 66:1:-1 at gen219 Univ0 prob=0.515
​ 199I j:ageGp:fam 368:3:-1 by yellow 299:2:-1 at gen219 Univ0 prob=0.083
​ 199I i:ageGp:fam 322:2:-1 by blue 893:6:-1 at gen219 Univ0 prob=0.137
​ 199I j:ageGp:fam 533:3:-1 by blue 324:2:-1 at gen219 Univ0 prob=0.228
​ 204I i:ageGp:fam 702:5:-1 by red 712:5:-1 at gen220 Univ0 prob=0.040
​ 208I j:ageGp:fam 121:1:-1 by blue 39:0:-1 at gen221 Univ0 prob=0.767
​ 208I i:ageGp:fam 189:2:-1 by blue 198:2:-1 at gen221 Univ0 prob=0.785
​ 208I j:ageGp:fam 416:3:-1 by blue 279:2:-1 at gen221 Univ0 prob=0.499
​ 208I i:ageGp:fam 361:3:-1 by blue 985:9:-1 at gen221 Univ0 prob=0.348
​ 208I i:ageGp:fam 457:3:-1 by blue 965:8:-1 at gen221 Univ0 prob=0.198
​ 209I j:ageGp:fam 315:2:-1 by blue 39:0:-1 at gen222 Univ0 prob=0.924
​ 209I j:ageGp:fam 938:7:-1 by blue 158:2:-1 at gen222 Univ0 prob=0.303
​ 209I i:ageGp:fam 247:2:-1 by blue 968:8:-1 at gen222 Univ0 prob=0.130
​ 209I i:ageGp:fam 300:2:-1 by blue 658:4:-1 at gen222 Univ0 prob=0.660
​ 209I j:ageGp:fam 613:4:-1 by blue 340:2:-1 at gen222 Univ0 prob=0.804
​ 214I i:ageGp:fam 4:0:-1 by blue 893:6:-1 at gen223 Univ0 prob=0.678
​ 214I j:ageGp:fam 717:5:-1 by blue 205:2:-1 at gen223 Univ0 prob=0.927
​ 214I i:ageGp:fam 325:2:-1 by blue 411:3:-1 at gen223 Univ0 prob=0.295
​ 214I i:ageGp:fam 376:3:-1 by yellow 702:5:-1 at gen223 Univ0 prob=0.397
​ 214I i:ageGp:fam 617:4:-1 by red 712:5:-1 at gen223 Univ0 prob=0.228
​ 214I i:ageGp:fam 824:6:-1 by red 832:6:-1 at gen223 Univ0 prob=0.048
