Biter,Victim,Gens,,,Biter
910,746,455,,,
910,930,456,,,
910,553,540,,,
911,294,533,,,
914,357,140,,,
914,885,181,,,
914,93,246,,,
914,600,289,,,
915,972,471,,,
915,430,482,,,
916,812,449,,,
917,828,499,,,
918,862,509,,,
923,516,413,,,
923,521,480,,,
928,790,434,,,
928,256,462,,,
933,760,367,,,
933,448,392,,,
933,318,393,,,
933,606,414,,,
933,6,416,,,
933,40,481,,,
934,676,424,,,
934,614,437,,,
934,765,441,,,
934,38,516,,,
934,335,526,,,
935,747,443,,,
935,988,471,,,
937,32,471,,,
938,309,589,,,
940,879,512,,,
941,725,492,,,
942,59,474,,,
942,312,497,,,
943,659,555,,,
948,593,428,,,
948,685,457,,,
948,622,459,,,
948,872,474,,,
952,163,469,,,
953,684,525,,,
956,2,560,,,
957,737,529,,,
961,948,353,,,
961,385,408,,,
961,15,409,,,
964,329,372,,,
964,542,379,,,
970,632,522,,,
971,865,578,,,
973,44,503,,,
973,475,508,,,
973,325,517,,,
974,322,492,,,
975,218,312,,,
975,369,327,,,
975,702,409,,,
978,726,579,,,
980,757,432,,,
989,779,511,,,
990,393,565,,,
992,230,417,,,
992,60,434,,,
992,215,509,,,
993,653,499,,,
994,27,461,,,
994,511,483,,,
994,748,577,,,
996,362,439,,,
996,911,446,,,
996,461,506,,,
997,950,427,,,
997,693,437,,,
997,541,438,,,
997,261,477,,,
998,584,344,,,
